Price,Close,High,Low,Open,Volume,SMA_50
Ticker,BTC-USD,BTC-USD,BTC-USD,BTC-USD,BTC-USD,
Datetime,,,,,,
2023-10-30 00:00:00+00:00,34471.25390625,34577.84765625,34467.95703125,34531.7421875,0,
2023-10-30 01:00:00+00:00,34441.8046875,34529.8828125,34436.67578125,34470.265625,0,
2023-10-30 02:00:00+00:00,34325.796875,34436.02734375,34259.57421875,34436.02734375,707189760,
2023-10-30 03:00:00+00:00,34280.8359375,34330.95703125,34253.67578125,34330.5390625,126050304,
2023-10-30 04:00:00+00:00,34327.8203125,34353.48828125,34255.42578125,34279.52734375,148297728,
2023-10-30 05:00:00+00:00,34272.61328125,34357.265625,34243.62109375,34328.890625,203509760,
2023-10-30 06:00:00+00:00,34310.3671875,34323.08203125,34206.83984375,34271.0078125,255184896,
2023-10-30 07:00:00+00:00,34212.9765625,34346.7109375,34175.71875,34308.24609375,486156288,
2023-10-30 08:00:00+00:00,34405.26953125,34426.703125,34181.26953125,34211.0703125,469338112,
2023-10-30 09:00:00+00:00,34557.2734375,34656.0703125,34397.6484375,34397.6484375,354824192,
2023-10-30 10:00:00+00:00,34536.38671875,34578.65625,34447.57421875,34537.40625,594223104,
2023-10-30 11:00:00+00:00,34607.12109375,34660.046875,34478.10546875,34539.7890625,198504448,
2023-10-30 12:00:00+00:00,34598.23046875,34819.203125,34584.86328125,34612.08203125,732758016,
2023-10-30 13:00:00+00:00,34681.62890625,34766.72265625,34516.7421875,34609.17578125,278410240,
2023-10-30 14:00:00+00:00,34619.9375,34843.93359375,34585.5,34679.1484375,522543104,
2023-10-30 15:00:00+00:00,34661.28125,34760.96875,34622.0546875,34622.0546875,125930496,
2023-10-30 16:00:00+00:00,34473.80078125,34664.75390625,34412.140625,34664.75390625,410596352,
2023-10-30 17:00:00+00:00,34335.1171875,34478.453125,34110.97265625,34471.2421875,502246400,
2023-10-30 18:00:00+00:00,34324.328125,34372.76953125,34304.9296875,34326.58984375,0,
2023-10-30 19:00:00+00:00,34421.6640625,34443.34375,34312.98046875,34318.93359375,479567872,
2023-10-30 20:00:00+00:00,34453.98046875,34457.62890625,34344.53515625,34448.07421875,129331200,
2023-10-30 21:00:00+00:00,34550.37109375,34580.73046875,34396.1484375,34452.7265625,148424704,
2023-10-30 22:00:00+00:00,34483.1640625,34543.57421875,34471.65625,34543.57421875,0,
2023-10-30 23:00:00+00:00,34505.4296875,34518.99609375,34473.80078125,34482.78125,0,
2023-10-31 00:00:00+00:00,34532.3203125,34613.2890625,34473.48828125,34500.078125,215662592,
